"Date","Close","% Change","% Change vs Average","Volume"
"2024-11-03T18:30:00.000Z","23,995.35","-1.27","-1.30","285,500"
"2024-11-04T18:30:00.000Z","24,213.30","0.91","0.88","289,500"
"2024-11-05T18:30:00.000Z","24,484.05","1.12","1.09","351,100"
"2024-11-06T18:30:00.000Z","24,199.35","-1.16","-1.19","322,200"
"2024-11-07T18:30:00.000Z","24,148.20","-0.21","-0.24","298,700"
"2024-11-10T18:30:00.000Z","24,141.30","-0.03","-0.06","273,400"
"2024-11-11T18:30:00.000Z","23,883.45","-1.07","-1.10","255,800"
"2024-11-12T18:30:00.000Z","23,559.05","-1.36","-1.39","304,600"
"2024-11-13T18:30:00.000Z","23,532.70","-0.11","-0.14","257,700"
"2024-11-17T18:30:00.000Z","23,453.80","-0.34","-0.37","263,300"
"2024-11-18T18:30:00.000Z","23,518.50","0.28","0.24","297,500"
"2024-11-20T18:30:00.000Z","23,349.90","-0.72","-0.75","420,300"
"2024-11-21T18:30:00.000Z","23,907.25","2.39","2.36","367,600"
"2024-11-24T18:30:00.000Z","24,221.90","1.32","1.29","687,200"
"2024-11-25T18:30:00.000Z","24,194.50","-0.11","-0.14","230,700"
"2024-11-26T18:30:00.000Z","24,274.90","0.33","0.30","295,000"
"2024-11-27T18:30:00.000Z","23,914.15","-1.49","-1.52","366,700"
"2024-11-28T18:30:00.000Z","24,131.10","0.91","0.88","282,100"
"2024-12-01T18:30:00.000Z","24,276.05","0.60","0.57","220,400"
"2024-12-02T18:30:00.000Z","24,457.15","0.75","0.71","339,500"
"2024-12-03T18:30:00.000Z","24,467.45","0.04","0.01","348,000"
"2024-12-04T18:30:00.000Z","24,708.40","0.98","0.95","361,500"
"2024-12-05T18:30:00.000Z","24,677.80","-0.12","-0.15","226,700"
"2024-12-08T18:30:00.000Z","24,619.00","-0.24","-0.27","248,100"
"2024-12-09T18:30:00.000Z","24,610.05","-0.04","-0.07","261,000"
"2024-12-10T18:30:00.000Z","24,641.80","0.13","0.10","187,300"
"2024-12-11T18:30:00.000Z","24,548.70","-0.38","-0.41","266,100"
"2024-12-12T18:30:00.000Z","24,768.30","0.89","0.86","310,100"
"2024-12-15T18:30:00.000Z","24,668.25","-0.40","-0.43","187,600"
"2024-12-16T18:30:00.000Z","24,336.00","-1.35","-1.38","264,900"
"2024-12-17T18:30:00.000Z","24,198.85","-0.56","-0.59","235,300"
"2024-12-18T18:30:00.000Z","23,951.70","-1.02","-1.05","271,100"
"2024-12-19T18:30:00.000Z","23,587.50","-1.52","-1.55","442,700"
"2024-12-22T18:30:00.000Z","23,753.45","0.70","0.67","189,800"
"2024-12-23T18:30:00.000Z","23,727.65","-0.11","-0.14","177,700"
"2024-12-25T18:30:00.000Z","23,750.20","0.10","0.06","177,700"
"2024-12-26T18:30:00.000Z","23,813.40","0.27","0.24","176,800"
"2024-12-29T18:30:00.000Z","23,644.90","-0.71","-0.74","364,900"
"2024-12-30T18:30:00.000Z","23,644.80","0","-0.03","193,600"
"2024-12-31T18:30:00.000Z","23,742.90","0.41","0.38","154,900"
"2025-01-01T18:30:00.000Z","24,188.65","1.88","1.85","283,200"
"2025-01-02T18:30:00.000Z","24,004.75","-0.76","-0.79","312,300"
"2025-01-05T18:30:00.000Z","23,616.05","-1.62","-1.65","278,100"
"2025-01-06T18:30:00.000Z","23,707.90","0.39","0.36","262,300"
"2025-01-07T18:30:00.000Z","23,688.95","-0.08","-0.11","266,400"
"2025-01-08T18:30:00.000Z","23,526.50","-0.69","-0.72","269,200"
"2025-01-09T18:30:00.000Z","23,431.50","-0.40","-0.43","261,000"
"2025-01-12T18:30:00.000Z","23,085.95","-1.47","-1.51","316,500"
"2025-01-13T18:30:00.000Z","23,176.05","0.39","0.36","311,200"
"2025-01-14T18:30:00.000Z","23,213.20","0.16","0.13","228,000"
"2025-01-15T18:30:00.000Z","23,311.80","0.42","0.39","299,400"
"2025-01-16T18:30:00.000Z","23,203.20","-0.47","-0.50","272,900"
"2025-01-19T18:30:00.000Z","23,344.75","0.61","0.58","301,500"
"2025-01-20T18:30:00.000Z","23,024.65","-1.37","-1.40","312,900"
"2025-01-21T18:30:00.000Z","23,155.35","0.57","0.54","276,000"
"2025-01-22T18:30:00.000Z","23,205.35","0.22","0.18","275,600"
"2025-01-23T18:30:00.000Z","23,092.20","-0.49","-0.52","264,300"
"2025-01-26T18:30:00.000Z","22,829.15","-1.14","-1.17","257,400"
"2025-01-27T18:30:00.000Z","22,957.25","0.56","0.53","361,900"
"2025-01-28T18:30:00.000Z","23,163.10","0.90","0.87","226,300"
"2025-01-29T18:30:00.000Z","23,249.50","0.37","0.34","361,900"
"2025-01-30T18:30:00.000Z","23,508.40","1.11","1.08","304,900"
"2025-02-02T18:30:00.000Z","23,361.05","-0.63","-0.66","329,700"
"2025-02-03T18:30:00.000Z","23,739.25","1.62","1.59","376,700"
"2025-02-04T18:30:00.000Z","23,696.30","-0.18","-0.21","267,000"
"2025-02-05T18:30:00.000Z","23,603.35","-0.39","-0.42","307,000"
"2025-02-06T18:30:00.000Z","23,559.95","-0.18","-0.21","368,100"
"2025-02-09T18:30:00.000Z","23,381.60","-0.76","-0.79","234,200"
"2025-02-10T18:30:00.000Z","23,071.80","-1.32","-1.36","268,000"
"2025-02-11T18:30:00.000Z","23,045.25","-0.12","-0.15","279,700"
"2025-02-12T18:30:00.000Z","23,031.40","-0.06","-0.09","265,700"
"2025-02-13T18:30:00.000Z","22,929.25","-0.44","-0.47","254,500"
"2025-02-16T18:30:00.000Z","22,959.50","0.13","0.10","207,400"
"2025-02-17T18:30:00.000Z","22,945.30","-0.06","-0.09","210,600"
"2025-02-18T18:30:00.000Z","22,932.90","-0.05","-0.09","207,000"
"2025-02-19T18:30:00.000Z","22,913.15","-0.09","-0.12","240,800"
"2025-02-20T18:30:00.000Z","22,795.90","-0.51","-0.54","242,800"
"2025-02-23T18:30:00.000Z","22,553.35","-1.06","-1.10","214,300"
"2025-02-24T18:30:00.000Z","22,547.55","-0.03","-0.06","250,300"
"2025-02-26T18:30:00.000Z","22,545.05","-0.01","-0.04","289,200"
"2025-02-27T18:30:00.000Z","22,124.70","-1.86","-1.90","551,300"
"2025-03-02T18:30:00.000Z","22,119.30","-0.02","-0.06","282,400"
"2025-03-03T18:30:00.000Z","22,082.65","-0.17","-0.20","253,300"
"2025-03-04T18:30:00.000Z","22,337.30","1.15","1.12","305,900"
"2025-03-05T18:30:00.000Z","22,544.70","0.93","0.90","372,100"
"2025-03-06T18:30:00.000Z","22,552.50","0.03","0","289,800"
"2025-03-09T18:30:00.000Z","22,460.30","-0.41","-0.44","293,900"
"2025-03-10T18:30:00.000Z","22,497.90","0.17","0.14","347,900"
"2025-03-11T18:30:00.000Z","22,470.50","-0.12","-0.15","369,700"
"2025-03-12T18:30:00.000Z","22,397.20","-0.33","-0.36","287,500"
"2025-03-16T18:30:00.000Z","22,508.75","0.50","0.47","251,100"
"2025-03-17T18:30:00.000Z","22,834.30","1.45","1.42","272,600"
"2025-03-18T18:30:00.000Z","22,907.60","0.32","0.29","324,000"
"2025-03-19T18:30:00.000Z","23,190.65","1.24","1.20","313,700"
"2025-03-20T18:30:00.000Z","23,350.40","0.69","0.66","0"
