Date,Close,% Change,% Change vs Average,Volume
2022-06-20T18:30:00.000Z,"15,638.80",1.88,1.86,"262,800"
2022-06-21T18:30:00.000Z,"15,413.30",-1.44,-1.47,"220,900"
2022-06-22T18:30:00.000Z,"15,556.65",0.93,0.91,"259,200"
2022-06-23T18:30:00.000Z,"15,699.25",0.92,0.89,"219,600"
2022-06-26T18:30:00.000Z,"15,832.05",0.85,0.82,"210,900"
2022-06-27T18:30:00.000Z,"15,850.20",0.11,0.09,"251,900"
2022-06-28T18:30:00.000Z,"15,799.10",-0.32,-0.35,"444,900"
2022-06-29T18:30:00.000Z,"15,780.25",-0.12,-0.14,"306,000"
2022-06-30T18:30:00.000Z,"15,752.05",-0.18,-0.2,"364,100"
2022-07-03T18:30:00.000Z,"15,835.35",0.53,0.5,"304,300"
2022-07-04T18:30:00.000Z,"15,810.85",-0.15,-0.18,"254,200"
2022-07-05T18:30:00.000Z,"15,989.80",1.13,1.11,"288,400"
2022-07-06T18:30:00.000Z,"16,132.90",0.89,0.87,"264,600"
2022-07-07T18:30:00.000Z,"16,220.60",0.54,0.52,"281,100"
2022-07-10T18:30:00.000Z,"16,216.00",-0.03,-0.05,"255,900"
2022-07-11T18:30:00.000Z,"16,058.30",-0.97,-1.0,"208,600"
2022-07-12T18:30:00.000Z,"15,966.65",-0.57,-0.6,"233,300"
2022-07-13T18:30:00.000Z,"15,938.65",-0.18,-0.2,"228,600"
2022-07-14T18:30:00.000Z,"16,049.20",0.69,0.67,"205,800"
2022-07-17T18:30:00.000Z,"16,278.50",1.43,1.4,"227,700"
2022-07-18T18:30:00.000Z,"16,340.55",0.38,0.36,"222,600"
2022-07-19T18:30:00.000Z,"16,520.85",1.1,1.08,"284,400"
2022-07-20T18:30:00.000Z,"16,605.25",0.51,0.49,"243,600"
2022-07-21T18:30:00.000Z,"16,719.45",0.69,0.66,"190,900"
2022-07-24T18:30:00.000Z,"16,631.00",-0.53,-0.55,"211,400"
2022-07-25T18:30:00.000Z,"16,483.85",-0.88,-0.91,"208,200"
2022-07-26T18:30:00.000Z,"16,641.80",0.96,0.93,"185,200"
2022-07-27T18:30:00.000Z,"16,929.60",1.73,1.7,"376,300"
2022-07-28T18:30:00.000Z,"17,158.25",1.35,1.33,"436,100"
